,자치구,편의점수,합계,살인,강도,성폭력,절도,폭력,인구,인구수당편의점수,인구수당범죄합계,인구수당살인,인구수당강도,인구수당성폭력,인구수당절도,인구수당폭력
0,강남구,826,7720,7,20,607,3130,3956,556164,1.485173438050647,13.880797750303868,0.012586215576700397,0.03596061593342971,1.0914046935795916,5.62783639358175,7.113009831632397
1,강동구,235,4261,5,10,172,1645,2429,436223,0.5387152901153768,9.767939792262213,0.011462027449263336,0.022924054898526672,0.39429374425465874,3.7710070308076373,5.568252934852128
2,강서구,231,3393,8,7,208,1014,2156,324479,0.7119104780278539,10.456762995448088,0.024654908329968965,0.021573044788722847,0.6410276165791932,3.125009630823566,6.644497794926636
3,강북구,110,5135,11,4,316,1888,2916,601691,0.18281809101349364,8.534280885039,0.018281809101349362,0.006647930582308859,0.5251865160024,3.1378232348497814,4.846341394503159
4,관악구,305,5525,8,7,379,1979,3152,503297,0.606004009560955,10.977613615817301,0.015895187136025054,0.013908288744021918,0.7530344905691868,3.9320719177741967,6.26270373159387
5,광진구,164,4646,6,13,261,2220,2146,357703,0.45848091852738165,12.988428948037898,0.01677369214124567,0.03634299963936562,0.7296556081441866,6.206266092260898,5.999390555852202
6,구로구,182,4895,7,8,328,1725,2827,410742,0.4431005351291078,11.917456700313092,0.017042328274196456,0.01947694659908166,0.7985548105623482,4.199716610426983,6.882666004450482
7,금천구,132,3265,5,5,240,1141,1874,235154,0.5613342745605008,13.884518230606325,0.021262661915170487,0.021262661915170487,1.0206077719281832,4.852139449041904,7.969245685805898
8,노원구,162,4209,4,9,180,1538,2478,554403,0.2922062110053517,7.5919502600094155,0.007214968172971647,0.016233678389186205,0.3246735677837241,2.7741552625075983,4.469672783155935
9,동대문구,179,1999,1,3,104,633,1258,344166,0.5200978597537235,5.808243696355828,0.002905574635495662,0.008716723906486987,0.30217976209154884,1.839228744268754,3.6552128914535427
10,도봉구,136,3975,11,3,165,1547,2249,350647,0.38785445191317763,11.336187105550596,0.03137058066944819,0.008555612909849507,0.4705587100417229,4.411844390512396,6.41385781141718
11,동작구,167,3330,1,7,396,1226,1700,396217,0.42148620579127094,8.404485420867857,0.0025238694957561134,0.017667086470292796,0.999452320319421,3.094264001796995,4.290578142785392
12,마포구,291,5278,3,8,500,2094,2673,374915,0.776175933211528,14.077857647733486,0.008001813744448742,0.021338169985196647,1.3336356240747902,5.585265993625222,7.129616046303829
13,서대문구,182,3113,4,1,202,1230,1676,312800,0.5818414322250639,9.952046035805626,0.01278772378516624,0.00319693094629156,0.6457800511508951,3.932225063938619,5.358056265984654
14,성동구,132,4708,9,13,470,1812,2404,441102,0.29925051348667653,10.67326831435813,0.02040344410136431,0.02947164147974845,1.0655131919601364,4.107893412408014,5.449986624408867
15,성북구,164,2767,1,3,132,1072,1559,304808,0.5380436209023385,9.077845725833967,0.003280753785989869,0.009842261357969607,0.4330594997506627,3.51696805858114,5.114695152358205
16,서초구,476,3434,7,8,173,1344,1902,444055,1.0719392868000586,7.7332762833432795,0.015763813041177334,0.018015786332774095,0.3895913794462398,3.0266521039060477,4.283253200617041
17,송파구,180,5576,6,1,288,2274,3007,664496,0.27088199176518746,8.391322144903807,0.009029399725506248,0.0015048999542510413,0.4334111868242999,3.422142495966868,4.525234162432882
18,영등포구,317,3882,3,3,138,1590,2148,471154,0.6728161068355569,8.239344248377389,0.006367344859642495,0.006367344859642495,0.2928978635435548,3.3746927756105225,4.559018919504027
19,용산구,169,5969,15,5,455,2304,3190,368550,0.4585537918871252,16.19590286256953,0.0407000407000407,0.0135666802333469,1.2345679012345678,6.2515262515262515,8.655541988875322
20,양천구,181,4060,1,5,327,1346,2381,229161,0.7898377123507054,17.716801724551736,0.004363744267130969,0.021818721335654847,1.426944375351827,5.8735997835582845,10.390075100038837
21,은평구,133,3883,6,4,230,1387,2256,486794,0.2732161859020448,7.976680074117594,0.012325542221144879,0.008217028147429918,0.4724791184772203,2.8492545101213245,4.634403875150475
22,종로구,142,4057,7,10,253,1644,2143,154770,0.9174904697292757,26.213090392194868,0.045228403437358664,0.06461200491051237,1.634683724235963,10.622213607288234,13.846352652322802
23,중구,223,4184,1,9,267,1846,2061,125709,1.7739382224025328,33.28321758983048,0.007954879921087591,0.07159391928978832,2.123952938930387,14.684708334327693,16.395007517361524
24,중랑구,166,4571,5,3,172,1533,2858,408226,0.4066374998162782,11.197228985904866,0.01224811746434573,0.007348870478607438,0.4213352407734931,3.755272814568401,7.001023942620019
